episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-53.45244444444443,6.488166666666666,96.49,50.575,0.5,44.879999999999995,20
1,-33.49808,6.5925,93.87,48.765,0.3,38.6,20
2,-23.529096666666668,6.625333333333334,100.395,52.44,0.2,43.9,20
3,-33.80271,7.1285,110.47500000000001,57.855000000000004,0.3,48.45,20
4,-43.66988111111112,6.917333333333334,98.365,50.96,0.4,43.300000000000004,20
5,-28.18798111111111,6.003333333333333,86.665,45.01,0.25,37.9,20
6,-53.719247777777774,7.0025,101.275,52.735,0.5,41.2,20
7,-38.045848888888884,5.715333333333334,87.275,45.605,0.35,38.9,20
8,-48.86069555555555,7.2575,107.555,56.22,0.45,45.6,20
9,-28.430078888888886,6.460666666666667,92.75,48.345,0.25,38.733333333333334,20
10,-48.280483333333336,6.1594999999999995,93.09,48.65,0.45,40.44,20
11,-38.538376666666665,6.6525,98.34,51.43,0.35,42.8,20
12,-38.218354444444444,6.05,89.68,46.855000000000004,0.35,38.8,20
13,-48.57593999999999,6.704166666666667,103.65,54.345,0.45,47.0,20
14,-38.48236666666667,6.560666666666666,93.855,48.875,0.35,39.68,20
15,-53.63022333333333,6.828833333333334,100.14,52.27,0.5,44.559999999999995,20
16,-49.12747888888889,7.755333333333334,115.94,60.495,0.45,49.800000000000004,20
17,-53.76995888888889,7.103166666666667,101.525,52.785000000000004,0.5,41.08,20
18,-53.82545888888889,7.176833333333334,109.86500000000001,57.485,0.5,48.52,20
19,-38.79208555555555,7.133666666666667,104.69,54.465,0.35,46.0,20
20,-53.37789555555555,6.3486666666666665,94.385,49.345,0.5,42.239999999999995,20
21,-38.33131222222222,6.267666666666667,91.655,47.82,0.35,39.12,20
22,-58.654990000000005,6.870666666666667,101.985,53.17,0.55,43.4,20
23,-58.730091111111115,7.021333333333334,101.965,53.065,0.55,42.2,20
24,-54.458375555555556,8.402,119.615,62.235,0.5,49.84,20
25,-48.86197111111112,7.271333333333334,105.295,54.655,0.45,46.8,20
26,-53.53640444444444,6.648666666666666,98.245,51.455,0.5,44.63999999999999,20
27,-33.59221222222222,6.752166666666667,100.385,52.295,0.3,44.64999999999999,20
28,-58.38763333333335,6.3853333333333335,90.735,47.075,0.55,38.4,20
29,-38.55520111111111,6.677666666666666,100.42,52.395,0.35,44.0,20
30,-38.43635333333334,6.4625,95.34,49.585,0.35,44.150000000000006,20
31,-53.64456444444444,6.860666666666667,99.685,51.735,0.5,46.099999999999994,20
32,-33.81107,7.1754999999999995,103.86,53.96,0.3,45.25,20
33,-38.560668888888884,6.696666666666666,98.465,51.465,0.35,44.199999999999996,20
34,-68.65180333333332,6.871166666666666,100.305,52.385,0.65,45.040000000000006,20
35,-43.58224777777777,6.740833333333334,98.425,51.235,0.4,41.55,20
36,-22.867433333333338,5.384166666666666,81.27,42.525,0.2,35.99999999999999,20
37,-53.75652555555556,7.0601666666666665,105.005,54.885,0.5,46.32,20
38,-38.52121444444444,6.617666666666667,98.515,51.46,0.35,43.92,20
39,-38.120955555555554,5.8635,87.89,45.775,0.35,41.349999999999994,20
40,-53.92993666666668,7.399166666666667,107.17500000000001,55.635,0.5,48.05,20
41,-28.451992222222223,6.4895000000000005,96.05,50.26,0.25,43.04,20
42,-48.179073333333335,5.988833333333333,85.965,44.57,0.45,38.25000000000001,20
43,-43.450829999999996,6.512666666666667,90.555,46.94,0.4,36.32,20
44,-28.33030222222222,6.258166666666667,93.32000000000001,48.765,0.25,39.47999999999999,20
45,-48.65379777777778,6.8555,104.74000000000001,54.835,0.45,45.76,20
46,-68.68610444444445,6.934166666666667,101.71000000000001,53.005,0.65,42.8,20
47,-43.336141111111104,6.274166666666667,92.5,48.14,0.4,41.150000000000006,20
48,-38.51824888888889,6.6161666666666665,97.52,50.905,0.35,41.440000000000005,20
49,-38.36425222222223,6.323666666666667,94.04,48.965,0.35,42.599999999999994,20
