episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-44.06162666666666,7.757833333333333,86.535,43.28,0.4,50.099999999999994,20
1,-39.01125,7.659666666666666,85.92,42.975,0.35,52.8,20
2,-49.28655666666666,8.198,89.11500000000001,44.27,0.45,63.9,20
3,-49.5004,8.576166666666667,100.095,50.550000000000004,0.45,59.5,20
4,-49.24252666666666,8.108,89.34,44.63,0.45,57.5,20
5,-38.64727444444445,6.955666666666667,80.02000000000001,40.265,0.35,48.0,20
6,-54.42867999999999,8.477666666666666,90.19500000000001,44.815,0.5,59.599999999999994,20
7,-38.656983333333336,6.983666666666667,78.21,39.125,0.35,52.300000000000004,20
8,-49.57655111111111,8.743666666666666,96.775,48.595,0.45,60.30000000000001,20
9,-38.925582222222225,7.4879999999999995,85.745,43.155,0.35,50.60000000000001,20
10,-49.05142333333333,7.762833333333333,80.7,40.17,0.45,59.3,20
11,-44.34205888888889,8.318833333333334,86.78,43.11,0.4,69.6,20
12,-33.973823333333335,7.6125,79.77,39.47,0.3,72.6,20
13,-54.49941222222221,8.620333333333333,89.96000000000001,44.645,0.5,75.0,20
14,-44.07715555555556,7.794333333333333,85.265,42.625,0.4,60.099999999999994,20
15,-49.14449666666667,7.899666666666667,91.785,46.34,0.45,50.5,20
16,-59.99417111111111,9.5525,103.465,51.480000000000004,0.55,77.6,20
17,-59.50436777777779,8.625,91.015,45.37,0.55,71.0,20
18,-59.48655333333333,8.553,98.985,50.035000000000004,0.55,53.699999999999996,20
19,-34.484992222222225,8.573666666666666,93.635,47.06,0.3,60.400000000000006,20
20,-53.85768222222223,7.3453333333333335,87.035,44.155,0.5,48.099999999999994,20
21,-53.96966444444445,7.5955,81.625,40.61,0.5,54.0,20
22,-49.46310444444443,8.545,90.715,44.905,0.45,76.1,20
23,-54.3253,8.251,94.36500000000001,47.475,0.5,67.6,20
24,-55.272616666666664,10.090666666666667,107.85,53.725,0.5,80.7,20
25,-54.66540777777777,8.940833333333334,92.8,45.94,0.5,72.39999999999999,20
26,-54.13273,7.884333333333333,89.985,45.29,0.5,59.4,20
27,-44.230582222222225,8.078666666666667,90.485,45.355000000000004,0.4,55.60000000000001,20
28,-54.04732666666666,7.750166666666667,81.885,40.63,0.5,67.8,20
29,-49.35008222222222,8.3275,88.4,44.055,0.45,67.8,20
