episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-28.275612222222218,6.121,99.38,52.345,0.25,46.120000000000005,20
1,-33.236431111111116,6.048666666666667,97.855,51.685,0.3,47.24,20
2,-28.265354444444448,6.077,104.08,55.605,0.25,57.04,20
3,-28.600034444444447,6.7095,113.03500000000001,59.845,0.25,53.24000000000001,20
4,-23.511581111111113,6.587833333333333,100.795,52.835,0.2,45.440000000000005,20
5,-23.111023333333332,5.841666666666667,88.245,46.07,0.2,38.6,20
6,-33.48163333333333,6.503,106.14,56.1,0.3,53.96,20
7,-17.97028888888889,5.559166666666667,88.07000000000001,46.425,0.15,41.2,20
8,-43.634508888888895,6.7844999999999995,111.72500000000001,59.06,0.4,54.24,20
9,-18.260255555555556,6.105833333333333,95.795,50.45,0.15,45.0,20
10,-28.353725555555556,6.311333333333334,91.88,47.985,0.25,41.160000000000004,20
11,-23.429510000000004,6.426,100.17,52.605000000000004,0.2,44.72,20
12,-18.269628888888885,6.1565,89.0,46.245,0.15,38.150000000000006,20
13,-28.57212,6.698166666666666,103.38,54.085,0.25,46.45,20
14,-23.381384444444446,6.3501666666666665,95.32000000000001,50.195,0.2,46.720000000000006,20
15,-33.48340111111111,6.522666666666667,102.805,53.92,0.3,47.12,20
16,-38.909441111111114,7.303,119.08,62.815,0.35,54.959999999999994,20
17,-38.56966,6.684166666666667,105.22500000000001,55.33,0.35,49.199999999999996,20
18,-33.65284888888889,6.820166666666666,112.19,59.055,0.3,52.55,20
19,-33.57100666666667,6.673333333333334,108.27000000000001,57.02,0.3,50.00000000000001,20
20,-28.242345555555556,6.068666666666666,96.14,50.595,0.25,44.03999999999999,20
21,-33.14951333333334,5.889833333333334,94.47,49.815,0.3,44.28,20
22,-38.469655555555555,6.485166666666666,104.735,55.35,0.35,51.52,20
23,-43.38616111111111,6.3068333333333335,106.96000000000001,56.95,0.4,55.519999999999996,20
24,-49.01859,7.485166666666666,127.41,67.22,0.45,61.55,20
25,-43.51510444444445,6.5536666666666665,109.855,58.105000000000004,0.4,50.839999999999996,20
26,-23.467118888888887,6.502,99.89,52.565,0.2,49.239999999999995,20
27,-28.554832222222228,6.674,100.91,52.855000000000004,0.25,44.879999999999995,20
28,-48.08411555555557,5.7525,95.9,50.655,0.45,45.400000000000006,20
29,-33.475901111111106,6.513833333333333,101.56,53.07,0.3,49.349999999999994,20
30,-28.333699999999997,6.241,98.325,51.975,0.25,52.92,20
31,-43.55229222222222,6.666,101.54,53.235,0.4,46.52,20
32,-18.56347111111111,6.6615,107.38000000000001,56.705,0.15,50.48,20
33,-23.34469111111111,6.2491666666666665,101.41,53.715,0.2,50.6,20
34,-38.55767888888889,6.677333333333333,101.45,53.145,0.35,44.88,20
35,-28.41242777777778,6.3885,100.735,53.125,0.25,47.31999999999999,20
36,-7.895572222222223,5.442166666666667,80.94500000000001,42.275,0.05,35.56,20
37,-38.61600444444445,6.767666666666667,107.11,56.58,0.35,53.32000000000001,20
38,-33.32592888888889,6.2123333333333335,101.495,53.495,0.3,47.88,20
39,-32.92124222222222,5.448166666666666,90.71000000000001,48.185,0.3,45.28,20
40,-33.80697000000001,7.143,109.125,57.11,0.3,47.559999999999995,20
41,-18.332904444444445,6.243666666666667,97.48,51.38,0.15,45.64000000000001,20
42,-33.12773444444444,5.881666666666667,86.59,45.345,0.3,40.2,20
43,-28.17261222222222,5.931166666666667,95.75,50.32,0.25,44.64,20
44,-33.19096777777777,5.967,95.605,50.62,0.3,48.239999999999995,20
45,-33.49158222222222,6.517166666666666,107.495,56.78,0.3,51.76,20
46,-43.59068666666666,6.735833333333333,103.00500000000001,54.160000000000004,0.4,48.4,20
47,-28.13052111111111,5.843666666666667,96.46000000000001,50.755,0.25,45.3,20
48,-28.41713222222222,6.404,99.33500000000001,52.38,0.25,49.08,20
49,-23.237714444444446,6.061,95.8,50.385,0.2,43.32000000000001,20
