task_id,resource_id,start_time,finish_time,latency,energy,cost,deadline,sla_miss
T0,R1,0,18.8,18.8,94.0,37.6,37,False
T1,R2,0,2.6,2.6,41.6,20.8,21,False
T2,R3,0,4.6,4.6,41.4,20.7,30,False
T3,R1,0,11.4,11.4,57.0,22.8,20,False
T4,R2,0,5.95,5.95,95.2,47.6,15,False
T5,R3,0,10.666666666666666,10.666666666666666,96.0,48.0,39,False
T6,R1,0,11.0,11.0,55.0,22.0,17,False
T7,R2,0,4.25,4.25,68.0,34.0,35,False
T8,R3,0,11.266666666666667,11.266666666666667,101.39999999999999,50.699999999999996,16,False
T9,R1,0,14.0,14.0,70.0,28.0,19,False
